timestamp,textPayload
2024-06-13 02:25:07,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Pemanasan Global  [LOG_DE_END]
2024-06-13 16:55:14,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Pemanasan Global  [LOG_DE_END]
2024-06-13 16:55:27,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Pemanasan Global  [LOG_DE_END]
2024-06-13 16:59:11,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Pemanasan Global  [LOG_DE_END]
2024-06-13 17:04:43,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Pemanasan Global  [LOG_DE_END]
2024-06-13 17:06:57,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Pemanasan Global  [LOG_DE_END]
